Bit storage locations (row, col, channel):
Bit 0 -> Pixel (707, 448, 0)
Bit 1 -> Pixel (479, 1378, 2)
Bit 1 -> Pixel (733, 1249, 1)
Bit 0 -> Pixel (278, 771, 1)
Bit 1 -> Pixel (93, 1015, 2)
Bit 1 -> Pixel (179, 1225, 1)
Bit 0 -> Pixel (742, 1433, 0)
Bit 1 -> Pixel (597, 1279, 2)
Bit 0 -> Pixel (853, 1130, 0)
Bit 1 -> Pixel (230, 543, 0)
Bit 1 -> Pixel (748, 510, 0)
Bit 1 -> Pixel (363, 1099, 1)
Bit 1 -> Pixel (693, 990, 0)
Bit 0 -> Pixel (854, 186, 0)
Bit 0 -> Pixel (753, 1204, 1)
Bit 1 -> Pixel (10, 475, 2)
Bit 0 -> Pixel (77, 478, 1)
Bit 0 -> Pixel (511, 731, 1)
Bit 1 -> Pixel (140, 55, 2)
Bit 0 -> Pixel (503, 357, 0)
Bit 0 -> Pixel (517, 1025, 1)
Bit 0 -> Pixel (470, 347, 2)
Bit 0 -> Pixel (657, 1403, 0)
Bit 0 -> Pixel (709, 103, 2)
Bit 0 -> Pixel (961, 692, 0)
Bit 1 -> Pixel (497, 159, 1)
Bit 1 -> Pixel (112, 1492, 2)
Bit 1 -> Pixel (587, 354, 1)
Bit 0 -> Pixel (783, 1046, 2)
Bit 0 -> Pixel (262, 122, 2)
Bit 0 -> Pixel (62, 391, 1)
Bit 0 -> Pixel (969, 1165, 2)
Bit 0 -> Pixel (910, 1493, 0)
Bit 1 -> Pixel (529, 1378, 1)
Bit 1 -> Pixel (498, 1445, 0)
Bit 0 -> Pixel (736, 176, 2)
Bit 0 -> Pixel (111, 151, 2)
Bit 0 -> Pixel (638, 253, 2)
Bit 0 -> Pixel (854, 1558, 2)
Bit 1 -> Pixel (971, 826, 1)
Bit 0 -> Pixel (536, 280, 0)
Bit 1 -> Pixel (102, 40, 1)
Bit 1 -> Pixel (798, 1460, 2)
Bit 1 -> Pixel (670, 832, 1)
Bit 0 -> Pixel (257, 1308, 1)
Bit 0 -> Pixel (928, 474, 0)
Bit 1 -> Pixel (393, 1324, 2)
Bit 1 -> Pixel (565, 537, 0)
Bit 0 -> Pixel (237, 879, 0)
Bit 1 -> Pixel (253, 1231, 2)
Bit 1 -> Pixel (203, 1143, 2)
Bit 1 -> Pixel (447, 38, 0)
Bit 0 -> Pixel (878, 1585, 2)
Bit 0 -> Pixel (0, 81, 2)
Bit 1 -> Pixel (567, 535, 2)
Bit 1 -> Pixel (502, 1037, 0)
Bit 0 -> Pixel (930, 107, 0)
Bit 1 -> Pixel (901, 417, 1)
Bit 1 -> Pixel (679, 6, 2)
Bit 1 -> Pixel (294, 496, 1)
Bit 0 -> Pixel (727, 1591, 2)
Bit 1 -> Pixel (375, 1190, 2)
Bit 1 -> Pixel (561, 350, 2)
Bit 1 -> Pixel (446, 497, 2)
Bit 0 -> Pixel (989, 1243, 0)
Bit 1 -> Pixel (760, 257, 2)
Bit 1 -> Pixel (620, 1362, 2)
Bit 0 -> Pixel (81, 1029, 2)
Bit 1 -> Pixel (746, 450, 0)
Bit 1 -> Pixel (897, 508, 1)
Bit 1 -> Pixel (270, 1511, 1)
Bit 1 -> Pixel (866, 887, 1)
Bit 0 -> Pixel (698, 883, 1)
Bit 1 -> Pixel (749, 650, 1)
Bit 1 -> Pixel (384, 474, 1)
Bit 1 -> Pixel (503, 1289, 0)
Bit 0 -> Pixel (445, 195, 1)
Bit 0 -> Pixel (336, 1, 0)
Bit 1 -> Pixel (795, 3, 1)
Bit 0 -> Pixel (247, 1191, 2)
Bit 0 -> Pixel (764, 1079, 0)
Bit 1 -> Pixel (507, 1014, 0)
Bit 1 -> Pixel (858, 762, 2)
Bit 0 -> Pixel (696, 1429, 1)
Bit 0 -> Pixel (525, 964, 1)
Bit 1 -> Pixel (113, 783, 0)
Bit 0 -> Pixel (722, 1533, 0)
Bit 0 -> Pixel (718, 699, 0)
Bit 0 -> Pixel (285, 962, 2)
Bit 0 -> Pixel (296, 303, 0)
Bit 1 -> Pixel (282, 526, 0)
Bit 0 -> Pixel (492, 1366, 1)
Bit 0 -> Pixel (493, 1222, 0)
Bit 0 -> Pixel (909, 881, 2)
