Bit storage locations (row, col, channel):
Bit 0 -> Pixel (0, 0, 0)
Bit 1 -> Pixel (0, 0, 1)
Bit 1 -> Pixel (0, 0, 2)
Bit 0 -> Pixel (0, 1, 0)
Bit 1 -> Pixel (0, 1, 1)
Bit 1 -> Pixel (0, 1, 2)
Bit 0 -> Pixel (0, 2, 0)
Bit 1 -> Pixel (0, 2, 1)
Bit 0 -> Pixel (0, 2, 2)
Bit 1 -> Pixel (0, 3, 0)
Bit 1 -> Pixel (0, 3, 1)
Bit 1 -> Pixel (0, 3, 2)
Bit 1 -> Pixel (0, 4, 0)
Bit 0 -> Pixel (0, 4, 1)
Bit 0 -> Pixel (0, 4, 2)
Bit 1 -> Pixel (0, 5, 0)
Bit 0 -> Pixel (0, 5, 1)
Bit 0 -> Pixel (0, 5, 2)
Bit 1 -> Pixel (0, 6, 0)
Bit 0 -> Pixel (0, 6, 1)
Bit 0 -> Pixel (0, 6, 2)
Bit 0 -> Pixel (0, 7, 0)
Bit 0 -> Pixel (0, 7, 1)
Bit 0 -> Pixel (0, 7, 2)
Bit 0 -> Pixel (0, 8, 0)
Bit 1 -> Pixel (0, 8, 1)
Bit 1 -> Pixel (0, 8, 2)
Bit 1 -> Pixel (0, 9, 0)
Bit 0 -> Pixel (0, 9, 1)
Bit 0 -> Pixel (0, 9, 2)
Bit 0 -> Pixel (0, 10, 0)
Bit 0 -> Pixel (0, 10, 1)
Bit 0 -> Pixel (0, 10, 2)
Bit 1 -> Pixel (0, 11, 0)
Bit 1 -> Pixel (0, 11, 1)
Bit 0 -> Pixel (0, 11, 2)
Bit 0 -> Pixel (0, 12, 0)
Bit 0 -> Pixel (0, 12, 1)
Bit 0 -> Pixel (0, 12, 2)
Bit 1 -> Pixel (0, 13, 0)
Bit 0 -> Pixel (0, 13, 1)
Bit 1 -> Pixel (0, 13, 2)
Bit 1 -> Pixel (0, 14, 0)
Bit 1 -> Pixel (0, 14, 1)
Bit 0 -> Pixel (0, 14, 2)
Bit 0 -> Pixel (0, 15, 0)
Bit 1 -> Pixel (0, 15, 1)
Bit 1 -> Pixel (0, 15, 2)
Bit 0 -> Pixel (0, 16, 0)
Bit 1 -> Pixel (0, 16, 1)
Bit 1 -> Pixel (0, 16, 2)
Bit 1 -> Pixel (0, 17, 0)
Bit 0 -> Pixel (0, 17, 1)
Bit 0 -> Pixel (0, 17, 2)
Bit 1 -> Pixel (0, 18, 0)
Bit 1 -> Pixel (0, 18, 1)
Bit 0 -> Pixel (0, 18, 2)
Bit 1 -> Pixel (0, 19, 0)
Bit 1 -> Pixel (0, 19, 1)
Bit 1 -> Pixel (0, 19, 2)
Bit 0 -> Pixel (0, 20, 0)
Bit 1 -> Pixel (0, 20, 1)
Bit 1 -> Pixel (0, 20, 2)
Bit 1 -> Pixel (0, 21, 0)
Bit 0 -> Pixel (0, 21, 1)
Bit 1 -> Pixel (0, 21, 2)
Bit 1 -> Pixel (0, 22, 0)
Bit 0 -> Pixel (0, 22, 1)
Bit 1 -> Pixel (0, 22, 2)
Bit 1 -> Pixel (0, 23, 0)
Bit 1 -> Pixel (0, 23, 1)
Bit 1 -> Pixel (0, 23, 2)
Bit 0 -> Pixel (0, 24, 0)
Bit 1 -> Pixel (0, 24, 1)
Bit 1 -> Pixel (0, 24, 2)
Bit 1 -> Pixel (0, 25, 0)
Bit 0 -> Pixel (0, 25, 1)
Bit 0 -> Pixel (0, 25, 2)
Bit 1 -> Pixel (0, 26, 0)
Bit 0 -> Pixel (0, 26, 1)
Bit 0 -> Pixel (0, 26, 2)
Bit 1 -> Pixel (0, 27, 0)
Bit 1 -> Pixel (0, 27, 1)
Bit 0 -> Pixel (0, 27, 2)
Bit 0 -> Pixel (0, 28, 0)
Bit 1 -> Pixel (0, 28, 1)
Bit 0 -> Pixel (0, 28, 2)
Bit 0 -> Pixel (0, 29, 0)
Bit 0 -> Pixel (0, 29, 1)
Bit 0 -> Pixel (0, 29, 2)
Bit 1 -> Pixel (0, 30, 0)
Bit 0 -> Pixel (0, 30, 1)
Bit 0 -> Pixel (0, 30, 2)
Bit 0 -> Pixel (0, 31, 0)
Bit 0 -> Pixel (0, 31, 1)
Bit 0 -> Pixel (0, 31, 2)
Bit 0 -> Pixel (0, 32, 0)
Bit 1 -> Pixel (0, 32, 1)
Bit 1 -> Pixel (0, 32, 2)
Bit 0 -> Pixel (0, 33, 0)
Bit 1 -> Pixel (0, 33, 1)
Bit 0 -> Pixel (0, 33, 2)
Bit 0 -> Pixel (0, 34, 0)
Bit 1 -> Pixel (0, 34, 1)
Bit 0 -> Pixel (0, 34, 2)
Bit 1 -> Pixel (0, 35, 0)
Bit 1 -> Pixel (0, 35, 1)
Bit 1 -> Pixel (0, 35, 2)
Bit 0 -> Pixel (0, 36, 0)
Bit 0 -> Pixel (0, 36, 1)
Bit 1 -> Pixel (0, 36, 2)
Bit 1 -> Pixel (0, 37, 0)
Bit 0 -> Pixel (0, 37, 1)
Bit 0 -> Pixel (0, 37, 2)
Bit 1 -> Pixel (0, 38, 0)
Bit 0 -> Pixel (0, 38, 1)
Bit 0 -> Pixel (0, 38, 2)
Bit 0 -> Pixel (0, 39, 0)
Bit 0 -> Pixel (0, 39, 1)
Bit 0 -> Pixel (0, 39, 2)
Bit 0 -> Pixel (0, 40, 0)
Bit 0 -> Pixel (0, 40, 1)
Bit 1 -> Pixel (0, 40, 2)
Bit 1 -> Pixel (0, 41, 0)
Bit 0 -> Pixel (0, 41, 1)
Bit 0 -> Pixel (0, 41, 2)
Bit 0 -> Pixel (0, 42, 0)
Bit 0 -> Pixel (0, 42, 1)
Bit 0 -> Pixel (0, 42, 2)
Bit 0 -> Pixel (0, 43, 0)
Bit 1 -> Pixel (0, 43, 1)
Bit 1 -> Pixel (0, 43, 2)
Bit 1 -> Pixel (0, 44, 0)
Bit 0 -> Pixel (0, 44, 1)
Bit 0 -> Pixel (0, 44, 2)
Bit 1 -> Pixel (0, 45, 0)
Bit 0 -> Pixel (0, 45, 1)
Bit 0 -> Pixel (0, 45, 2)
Bit 1 -> Pixel (0, 46, 0)
Bit 1 -> Pixel (0, 46, 1)
Bit 0 -> Pixel (0, 46, 2)
Bit 0 -> Pixel (0, 47, 0)
Bit 0 -> Pixel (0, 47, 1)
Bit 0 -> Pixel (0, 47, 2)
Bit 0 -> Pixel (0, 48, 0)
Bit 0 -> Pixel (0, 48, 1)
Bit 1 -> Pixel (0, 48, 2)
Bit 1 -> Pixel (0, 49, 0)
Bit 1 -> Pixel (0, 49, 1)
Bit 0 -> Pixel (0, 49, 2)
Bit 0 -> Pixel (0, 50, 0)
Bit 0 -> Pixel (0, 50, 1)
